City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-10.57,76,42,6.12,GS,1719273901
1,yuzhno-kurilsk,44.0306,145.8556,10.81,99,100,3.23,RU,1719273845
2,smara,26.7384,-11.6719,19.68,78,0,5.3,EH,1719273903
3,greenwood,34.1668,-82.1165,32.93,41,14,2.99,US,1719273905
4,adamstown,-25.066,-130.1015,22.7,87,56,6.64,PN,1719273906
5,beledweyne,4.7358,45.2036,24.08,77,99,8.29,SO,1719273907
6,kailua-kona,19.6406,-155.9956,26.82,82,13,0.89,US,1719273672
7,qaqortoq,60.7167,-46.0333,1.28,91,39,2.41,GL,1719273910
8,copiapo,-27.3667,-70.3333,11.35,83,43,2.08,CL,1719273756
9,nueva guinea,11.6876,-84.4562,25.62,89,95,3.27,NI,1719273682
10,geraldton,-28.7667,114.6,11.91,70,0,4.48,AU,1719273914
11,zemio,5.0314,25.1361,21.17,91,97,1.16,CF,1719273916
12,waitangi,-43.9535,-176.5597,10.46,77,42,4.47,NZ,1719273917
13,linxia chengguanzhen,35.6003,103.2064,17.09,56,1,0.78,CN,1719273918
14,puerto natales,-51.7236,-72.4875,-4.1,88,57,2.43,CL,1719273851
15,vorgashor,67.5833,63.95,12.14,62,66,5.25,RU,1719273661
16,aflou,34.1128,2.1023,22.14,40,4,2.36,DZ,1719273924
17,invercargill,-46.4,168.35,6.68,99,88,1.26,NZ,1719273925
18,west island,-12.1568,96.8225,27.45,74,83,9.55,CC,1719273927
19,iqaluit,63.7506,-68.5145,1.67,87,97,2.44,CA,1719273928
20,edinburgh of the seven seas,-37.0676,-12.3116,16.09,84,80,13.92,SH,1719273930
21,port-aux-francais,-49.35,70.2167,0.88,69,21,5.51,TF,1719273928
22,khandyga,62.6667,135.6,24.06,45,26,1.33,RU,1719273932
23,puerto aysen,-45.4,-72.7,1.51,97,84,1.44,CL,1719273748
24,vilyuysk,63.7553,121.6247,23.21,55,71,2.6,RU,1719273935
25,cranbrook,49.4999,-115.7688,24.38,19,12,4.58,CA,1719273839
26,arish,31.1316,33.7984,24.93,77,0,1.74,EG,1719273938
27,yellowknife,62.456,-114.3525,16.9,47,81,3.58,CA,1719273677
28,kingston,17.997,-76.7936,27.95,73,29,1.33,JM,1719273937
29,akjoujt,19.6969,-14.4164,33.87,15,0,5.28,MR,1719273903
30,hermanus,-34.4187,19.2345,10.45,83,22,3.2,ZA,1719273943
